"BehaviorSpace results (NetLogo 5.2.0)"
"priority_queue_them_park.nlogo"
"wait-time-normal-q"
"12/19/2015 22:56:20:254 +0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","number-persons","[step]","(sum [waiting-time] of visitors) / ((count visitors with [queueing?]) + 1)"
"3","300","43","18.657692307692308"
"1","1","301","0"
"2","50","227","40.857142857142854"
"1","1","302","0"
"3","300","44","18.764462809917354"
"1","1","303","0"
"1","1","304","0"
"2","50","228","39.1"
"1","1","305","0"
"1","1","306","0"
"1","1","307","0"
"3","300","45","19.16"
"1","1","308","0"
"1","1","309","0"
"1","1","310","0"
"2","50","229","38.806451612903224"
"2","50","230","41.03846153846154"
"3","300","46","19.49034749034749"
"2","50","231","37.758620689655174"
"2","50","232","32.25714285714286"
"3","300","47","20.411522633744855"
"2","50","233","40.22222222222222"
"1","1","311","0"
"1","1","312","0"
"2","50","234","34.90625"
"1","1","313","0"
"3","300","48","21.076923076923077"
"1","1","314","0"
"1","1","315","0"
"2","50","235","31.16216216216216"
"1","1","316","0.5"
"1","1","317","0"
"1","1","318","0"
"1","1","319","0"
"3","300","49","20.866412213740457"
"2","50","236","33"
"1","1","320","0"
"1","1","321","0"
"2","50","237","29.84375"
"1","1","322","0"
"1","1","323","0"
"1","1","324","0"
"2","50","238","29.058823529411764"
"1","1","325","0"
"1","1","326","0"
"2","50","239","33.724137931034484"
"1","1","327","0"
"1","1","328","0.5"
"2","50","240","32.516129032258064"
"1","1","329","0"
"1","1","330","0"
"2","50","241","31.515151515151516"
"1","1","331","0.5"
"3","300","50","21.246963562753038"
"2","50","242","39.69230769230769"
"1","1","332","0"
"1","1","333","0"
"1","1","334","0"
"2","50","243","36.55172413793103"
"3","300","51","21.65748031496063"
"1","1","335","0"
"1","1","336","0"
"2","50","244","34.09375"
"3","300","52","21.59925093632959"
"1","1","337","0"
"2","50","245","39.666666666666664"
"2","50","246","37.89655172413793"
"3","300","53","22.040650406504064"
"2","50","247","32.371428571428574"
"2","50","248","38.793103448275865"
"2","50","249","34.05882352941177"
"3","300","54","22.59760956175299"
"1","1","338","0"
"1","1","339","0"
"2","50","250","34.05714285714286"
"1","1","340","0"
"1","1","341","0"
"1","1","342","0"
"1","1","343","0"
"1","1","344","0"
"1","1","345","0.5"
"2","50","251","35.70967741935484"
"1","1","346","1"
"1","1","347","0"
"3","300","55","22.31954887218045"
"1","1","348","0"
"1","1","349","0"
"1","1","350","0"
"2","50","252","33.529411764705884"
"1","1","351","0.5"
"1","1","352","1"
"2","50","253","32.638888888888886"
"1","1","353","0"
"3","300","56","22.788"
"1","1","354","0"
"1","1","355","0"
"2","50","254","40.17857142857143"
"3","300","57","23.163424124513618"
"1","1","356","0"
"1","1","357","0"
"1","1","358","0.5"
"2","50","255","39.758620689655174"
"1","1","359","0"
"1","1","360","0"
"2","50","256","33"
"1","1","361","0"
"1","1","362","0"
"1","1","363","0"
"1","1","364","0"
"1","1","365","0"
"2","50","257","43.42307692307692"
"3","300","58","23.460377358490565"
"1","1","366","0"
"1","1","367","0"
"2","50","258","44.38461538461539"
"1","1","368","0"
"1","1","369","0"
"1","1","370","0.5"
"1","1","371","0"
"2","50","259","35.93939393939394"
"1","1","372","0"
"3","300","59","23.90272373540856"
"1","1","373","0.5"
"2","50","260","40.96551724137931"
"1","1","374","0"
"1","1","375","0"
"1","1","376","0"
"2","50","261","39.29032258064516"
"3","300","60","24.442748091603054"
"1","1","377","0"
"2","50","262","34.80555555555556"
"1","1","378","0"
"1","1","379","0"
"1","1","380","0"
"3","300","61","24.540441176470587"
"1","1","381","0"
"2","50","263","40.935483870967744"
"1","1","382","0"
"2","50","264","38.294117647058826"
"2","50","265","34.35897435897436"
"2","50","266","44.43333333333333"
"2","50","267","38"
"2","50","268","36.05128205128205"
"1","1","383","0"
"1","1","384","0"
"2","50","269","40.266666666666666"
"1","1","385","0"
"3","300","62","25.31923076923077"
"2","50","270","37.57575757575758"
"1","1","386","0"
"1","1","387","0"
"2","50","271","34.486486486486484"
"1","1","388","0"
"2","50","272","42.93103448275862"
"1","1","389","0"
"1","1","390","0"
"3","300","63","25.837735849056603"
"1","1","391","0.5"
"1","1","392","0"
"2","50","273","39.875"
"1","1","393","0"
"1","1","394","0.5"
"2","50","274","36.416666666666664"
"1","1","395","0"
"1","1","396","0"
"1","1","397","0"
"2","50","275","41.43333333333333"
"1","1","398","0"
"3","300","64","26.076923076923077"
"1","1","399","0.5"
"2","50","276","38.63636363636363"
"1","1","400","1"
"3","300","65","26.739463601532567"
"1","1","401","0"
"1","1","402","0"
"2","50","277","32.85"
"1","1","403","0"
"3","300","66","27.134831460674157"
"2","50","278","40.48275862068966"
"1","1","404","0"
"1","1","405","0"
"2","50","279","38.83870967741935"
"1","1","406","0"
"2","50","280","31.846153846153847"
"1","1","407","0"
"1","1","408","0"
"2","50","281","41.233333333333334"
"1","1","409","0"
"1","1","410","0"
"2","50","282","40.87096774193548"
"1","1","411","0"
"1","1","412","0"
"1","1","413","0"
"3","300","67","27.63235294117647"
"2","50","283","36.166666666666664"
"1","1","414","0"
"2","50","284","44.52"
"3","300","68","28.403041825095055"
"2","50","285","39.3448275862069"
"2","50","286","34.529411764705884"
"2","50","287","45.8"
"3","300","69","28.973782771535582"
"2","50","288","40.44827586206897"
"2","50","289","36.515151515151516"
"1","1","415","0"
"3","300","70","29.4375"
"2","50","290","43.464285714285715"
"1","1","416","0"
"2","50","291","37.84848484848485"
"1","1","417","0"
"1","1","418","0"
"2","50","292","36.65714285714286"
"1","1","419","0"
"1","1","420","0"
"1","1","421","0"
"2","50","293","40.03225806451613"
"3","300","71","30.490421455938698"
"1","1","422","0"
"2","50","294","39.75"
"1","1","423","0"
"1","1","424","0"
"2","50","295","37.31428571428572"
"1","1","425","0"
"2","50","296","45.925925925925924"
"1","1","426","0"
"3","300","72","31.254752851711025"
"1","1","427","0"
"2","50","297","43.724137931034484"
"1","1","428","0"
"1","1","429","0.5"
"2","50","298","38.26470588235294"
"1","1","430","1"
"1","1","431","0"
"2","50","299","38.592592592592595"
"1","1","432","0"
"1","1","433","0.5"
"2","50","300","34.58064516129032"
"3","300","73","30.996350364963504"
"1","1","434","0"
"1","1","435","0"
"2","50","301","30.75"
"1","1","436","0"
"1","1","437","0"
"2","50","302","34.96875"
"1","1","438","0"
"1","1","439","0"
"2","50","303","32.05555555555556"
"1","1","440","0"
"2","50","304","32.16216216216216"
"1","1","441","0"
"3","300","74","31.719101123595507"
"1","1","442","0"
"2","50","305","37.642857142857146"
"1","1","443","0"
"2","50","306","33.90625"
"3","300","75","31.57039711191336"
"2","50","307","31.97142857142857"
"2","50","308","33.827586206896555"
"2","50","309","31.625"
"3","300","76","31.573426573426573"
"2","50","310","27.605263157894736"
"2","50","311","36.30769230769231"
"3","300","77","32.605839416058394"
"2","50","312","34.67857142857143"
"2","50","313","30.393939393939394"
"2","50","314","39.8"
"3","300","78","33.36594202898551"
"2","50","315","36.5"
"2","50","316","31.939393939393938"
"2","50","317","39.92"
"3","300","79","33.30877192982456"
"2","50","318","36.607142857142854"
"1","1","444","0"
"2","50","319","31.11764705882353"
"1","1","445","0"
"2","50","320","31.75"
"1","1","446","0"
"1","1","447","0"
"1","1","448","0.5"
"2","50","321","30.6"
"3","300","80","33.93382352941177"
"1","1","449","0"
"1","1","450","0"
"2","50","322","23.925"
"1","1","451","0"
"2","50","323","29.433333333333334"
"1","1","452","0"
"1","1","453","0.5"
"2","50","324","28.5625"
"1","1","454","1"
"1","1","455","0"
"1","1","456","0"
"2","50","325","26.36111111111111"
"3","300","81","34.68248175182482"
"1","1","457","0"
"1","1","458","0"
"2","50","326","23.62962962962963"
"1","1","459","0"
"1","1","460","0"
"2","50","327","24.59259259259259"
"1","1","461","0"
"1","1","462","0"
"2","50","328","19.942857142857143"
"1","1","463","0"
"2","50","329","20.433333333333334"
"1","1","464","0"
"1","1","465","0"
"1","1","466","0"
"2","50","330","21.4"
"3","300","82","34.45774647887324"
"1","1","467","0"
"2","50","331","19.314285714285713"
"1","1","468","0.5"
"1","1","469","1"
"1","1","470","0"
"3","300","83","35.58148148148148"
"1","1","471","0"
"2","50","332","23.925925925925927"
"1","1","472","0"
"1","1","473","0"
"2","50","333","23.24137931034483"
"1","1","474","0"
"3","300","84","36.058394160583944"
"1","1","475","0.5"
"2","50","334","22.03125"
"1","1","476","0"
"1","1","477","0"
"2","50","335","26.51851851851852"
"1","1","478","0"
"1","1","479","0"
"2","50","336","25.655172413793103"
"1","1","480","0"
"3","300","85","35.908127208480565"
"2","50","337","23.515151515151516"
"1","1","481","0"
"1","1","482","0"
"1","1","483","0"
"1","1","484","0"
"2","50","338","27.64"
"1","1","485","0"
"1","1","486","0"
"2","50","339","26.555555555555557"
"1","1","487","0"
"2","50","340","22.058823529411764"
"1","1","488","0"
"3","300","86","37.71003717472119"
"1","1","489","0"
"2","50","341","24.392857142857142"
"1","1","490","0"
"1","1","491","0"
"1","1","492","0"
"2","50","342","23.733333333333334"
"2","50","343","19.23076923076923"
"2","50","344","23.03125"
"3","300","87","38.15384615384615"
"2","50","345","23.303030303030305"
"2","50","346","21.756756756756758"
"1","1","493","0"
"3","300","88","38.32974910394265"
"2","50","347","24.903225806451612"
"1","1","494","0"
"1","1","495","0.5"
"2","50","348","23.02857142857143"
"1","1","496","1"
"1","1","497","0"
"2","50","349","22.756756756756758"
